employee,device,credential,event_time,shift_date,event_source,location,confidence,notes
,"#1 - H FULFILLMENT",0795641386,"2026-01-07 01:25:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0555490871,"2026-01-07 01:25:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0110676497,"2026-01-07 01:26:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0953153513,"2026-01-07 01:26:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0906331144,"2026-01-07 01:26:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0110678889,"2026-01-07 06:08:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0361162048,"2026-01-07 06:27:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0110657873,"2026-01-07 06:28:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0110662942,"2026-01-07 06:28:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0361572962,"2026-01-07 06:28:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0110678888,"2026-01-07 06:28:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0110678891,"2026-01-07 06:28:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0110187001,"2026-01-07 06:29:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0548834526,"2026-01-07 06:29:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0110662956,"2026-01-07 06:29:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0110657894,"2026-01-07 06:29:00",2026-01-07,device,,,
,"#1 - H FULFILLMENT",0110662983,"2026-01-07 06:32:00",2026-01-07,device,,,
,"#2 - H FINISHING",0608489578,"2026-01-06 14:51:00",2026-01-06,device,,,
,"#2 - H FINISHING",0110656696,"2026-01-06 14:54:00",2026-01-06,device,,,
,"#2 - H FINISHING",0608489578,"2026-01-06 20:02:00",2026-01-06,device,,,
,"#2 - H FINISHING",0110656696,"2026-01-06 20:04:00",2026-01-06,device,,,
,"#2 - H FINISHING",0110656696,"2026-01-06 20:24:00",2026-01-06,device,,,
,"#2 - H FINISHING",0608489578,"2026-01-06 20:24:00",2026-01-06,device,,,
,"#2 - H FINISHING",0608489578,"2026-01-07 02:44:00",2026-01-07,device,,,
,"#2 - H FINISHING",0110656696,"2026-01-07 02:44:00",2026-01-07,device,,,
,"#3 - F MAIN ENTRY",0618195350,"2026-01-06 06:55:00",2026-01-06,device,,,
,"#3 - F MAIN ENTRY",0110668804,"2026-01-06 07:09:00",2026-01-06,device,,,
,"#3 - F MAIN ENTRY",0618195350,"2026-01-06 11:46:00",2026-01-06,device,,,
